This .csv file has been created as a one-off extraction on 2020-08-20.

Some users have been differencing the data_covid19_msis_by_location_YYYY-MM-DD
data series to create "municipality-level time-series". These users have requested
that we provide historical data to bridge the gap between 2020-02-28 and data_covid19_msis_by_location_2020-06-04

This dataset fulfills that request.

An example of interpreting the data correctly follows below.

When we look at Oslo (municip0301) we find the following values:
data_covid19_msis_by_location_2020-06-19.csv (i.e. a snapshot of MSIS at 2020-06-19 00:00)
n = 2802

data_covid19_msis_by_location_2020-06-18.csv (i.e. a snapshot of MSIS at 2020-06-18 00:00)
n = 2797

We can therefore conclude that 5 people from Oslo were registered in MSIS on 2020-06-18.

This is confirmed in this dataset below: 2020-06-18,municip0301,5

It is important to note that differencing the data_covid19_msis_by_location_YYYY-MM-DD
data series (and by using this historical dataset) will create a time-series where
the data corresponds to "number of people registered in MSIS on this date".

This is not the same as the time-series provided in the data_covid19_msis_by_time_location_YYYY-MM-DD
time series, where "date" represents "proevetakingsdato" (i.e. the date when the test was taken, which is
a better epidemiological proxy for tracking the progress of an outbreak).

registration_date,location_code,n_registered_on_this_date_in_msis
2020-07-26,municip1106,1
2020-07-27,municip1106,0
2020-07-28,municip1106,2
2020-07-29,municip1106,0
2020-07-30,municip1106,5
2020-07-31,municip1106,0
2020-08-01,municip1106,0
2020-08-02,municip1106,1
2020-08-03,municip1106,2
2020-08-04,municip1106,0
2020-08-05,municip1106,2
2020-08-06,municip1106,0
2020-08-07,municip1106,0
2020-08-08,municip1106,1
2020-08-09,municip1106,0
2020-08-10,municip1106,0
2020-08-11,municip1106,0
2020-08-12,municip1106,0
2020-08-13,municip1106,4
2020-08-14,municip1106,0
2020-08-15,municip1106,0
2020-02-28,municip1108,0
2020-02-29,municip1108,0
2020-03-01,municip1108,0
2020-03-02,municip1108,0
2020-03-03,municip1108,0
2020-03-04,municip1108,0
2020-03-05,municip1108,0
2020-03-06,municip1108,0
2020-03-07,municip1108,0
2020-03-08,municip1108,0
2020-03-09,municip1108,0
2020-03-10,municip1108,0
2020-03-11,municip1108,1
2020-03-12,municip1108,0
2020-03-13,municip1108,0
2020-03-14,municip1108,0
2020-03-15,municip1108,1
2020-03-16,municip1108,1
2020-03-17,municip1108,5
2020-03-18,municip1108,16
2020-03-19,municip1108,0
2020-03-20,municip1108,0
2020-03-21,municip1108,0
2020-03-22,municip1108,0
2020-03-23,municip1108,1
2020-03-24,municip1108,7
2020-03-25,municip1108,2
2020-03-26,municip1108,1
2020-03-27,municip1108,4
2020-03-28,municip1108,0
2020-03-29,municip1108,0
2020-03-30,municip1108,2
2020-03-31,municip1108,0
2020-04-01,municip1108,1
2020-04-02,municip1108,2
2020-04-03,municip1108,0
2020-04-04,municip1108,0
2020-04-05,municip1108,1
2020-04-06,municip1108,0
2020-04-07,municip1108,1
2020-04-08,municip1108,0
2020-04-09,municip1108,0
