granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10990,10347,7559,2307,83,78.2,57.1,17.4,13233,Vefsn,2022-10-19
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1208,1170,917,150,82.7,80.1,62.8,10.3,1461,Grane,2022-10-19
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1091,1037,850,202,85.7,81.5,66.8,15.9,1273,Hattfjelldal,2022-10-19
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1123,1044,879,244,82,76.3,64.2,17.8,1369,Dønna,2022-10-19
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1380,1274,910,188,81.3,75,53.6,11.1,1698,Nesna,2022-10-19
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3571,3380,2394,726,80.8,76.5,54.2,16.4,4420,Hemnes,2022-10-19
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21413,20221,14351,2800,82.1,77.5,55,10.7,26092,Rana,2022-10-19
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1507,1417,1062,261,80.6,75.8,56.8,14,1869,Lurøy,2022-10-19
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,364,343,257,51,80.9,76.2,57.1,11.3,450,Træna,2022-10-19
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,914,876,654,130,79.3,76,56.7,11.3,1153,Rødøy,2022-10-19
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4968,4627,3484,428,79.9,74.5,56.1,6.9,6214,Meløy,2022-10-19
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1547,1469,1238,402,81.7,77.6,65.4,21.2,1894,Gildeskål,2022-10-19
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,862,838,695,254,85.2,82.8,68.7,25.1,1012,Beiarn,2022-10-19
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3777,3572,2956,708,81.8,77.4,64,15.3,4617,Saltdal,2022-10-19
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8016,7549,5758,876,83.5,78.6,60,9.1,9603,Fauske,2022-10-19
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1562,1508,1230,265,83.6,80.7,65.8,14.2,1869,Sørfold,2022-10-19
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2116,2006,1480,223,81.7,77.4,57.1,8.6,2591,Steigen,2022-10-19
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1646,1575,1242,424,83.3,79.7,62.9,21.5,1976,Lødingen,2022-10-19
total,municip,municip1853,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1065,1028,832,280,79.8,77.1,62.4,21,1334,Evenes,2022-10-19
total,municip,municip1856,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,414,389,304,67,88.3,82.9,64.8,14.3,469,Røst,2022-10-19
total,municip,municip1857,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,535,506,399,82,78.9,74.6,58.8,12.1,678,Værøy,2022-10-19
total,municip,municip1859,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,995,959,701,100,81.8,78.9,57.6,8.2,1216,Flakstad,2022-10-19
total,municip,municip1860,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9016,8460,5723,1279,78,73.1,49.5,11.1,11566,Vestvågøy,2022-10-19
total,municip,municip1865,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7662,7073,4863,957,78.8,72.7,50,9.8,9724,Vågan,2022-10-19
total,municip,municip1866,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6515,6084,4293,880,80.4,75,53,10.9,8107,Hadsel,2022-10-19
total,municip,municip1867,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2069,1976,1610,267,80.7,77,62.8,10.4,2565,Bø,2022-10-19
total,municip,municip1868,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3432,3194,2271,468,77,71.6,50.9,10.5,4458,Øksnes,2022-10-19
total,municip,municip1870,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8337,7760,5612,1112,79.6,74.1,53.6,10.6,10468,Sortland,2022-10-19
total,municip,municip1871,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3773,3564,2853,579,82.5,78,62.4,12.7,4572,Andøy,2022-10-19
total,municip,municip1874,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,812,777,623,119,82.7,79.1,63.4,12.1,982,Moskenes,2022-10-19
total,municip,municip1875,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2205,2088,1665,398,81.4,77.1,61.5,14.7,2708,Hamarøy,2022-10-19
total,municip,municip3001,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25445,23854,17762,3910,80.9,75.9,56.5,12.4,31444,Halden,2022-10-19
total,municip,municip3002,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,41304,38694,31183,5489,82.1,76.9,62,10.9,50290,Moss,2022-10-19
total,municip,municip3003,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,46981,44188,35163,7365,80.7,75.9,60.4,12.7,58182,Sarpsborg,2022-10-19
total,municip,municip3004,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,66844,62304,46884,9984,79.7,74.3,55.9,11.9,83892,Fredrikstad,2022-10-19
total,municip,municip3005,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,79204,73806,53712,14568,77.4,72.2,52.5,14.2,102273,Drammen,2022-10-19
total,municip,municip3006,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22595,21242,16296,4728,81,76.2,58.5,17,27879,Kongsberg,2022-10-19
total,municip,municip3007,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25091,23473,16540,3718,80.9,75.7,53.3,12,31011,Ringerike,2022-10-19
total,municip,municip3011,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4111,3899,3231,1051,86.7,82.2,68.2,22.2,4741,Hvaler,2022-10-19
total,municip,municip3012,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1109,1060,864,188,84.3,80.6,65.7,14.3,1315,Aremark,2022-10-19
total,municip,municip3013,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3047,2906,2279,731,85.2,81.2,63.7,20.4,3578,Marker,2022-10-19
total,municip,municip3014,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,35417,33108,23303,4224,77.7,72.6,51.1,9.3,45608,Indre Østfold,2022-10-19
total,municip,municip3015,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3043,2825,2195,411,79.1,73.5,57.1,10.7,3846,Skiptvet,2022-10-19
total,municip,municip3016,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6671,6277,4850,1285,80.3,75.5,58.3,15.5,8312,Rakkestad,2022-10-19
total,municip,municip3017,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6094,5690,4391,994,79.8,74.5,57.5,13,7633,Råde,2022-10-19
