granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause
day,nation,norge,2020,total,total,2020,38,2020-38,2020/2021,9,2020-09-20,0,2
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-21,1,3
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-22,0,3
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-23,1,3
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-24,0,3
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-25,1,1
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-26,0,1
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-27,0,1
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-28,0,5
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-29,0,4
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-30,1,2
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-01,1,5
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-02,0,4
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-03,0,0
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-04,1,1
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-05,0,2
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-06,0,1
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-07,1,4
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-08,0,3
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-09,0,10
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-10,0,3
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-11,0,6
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-12,0,4
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-13,0,2
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-14,1,1
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-15,0,3
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-16,0,3
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-17,2,4
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-18,1,2
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-19,1,1
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-20,0,2
