location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name
municip3803,1900-01-01,369,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,56293,655.498907501821,Tønsberg
municip3804,1900-01-01,418,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,63764,655.54231227652,Sandefjord
municip3805,1900-01-01,311,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,47204,658.842470977036,Larvik
municip3806,1900-01-01,350,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,36397,961.617715745803,Porsgrunn
municip3807,1900-01-01,778,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,54942,1416.03873175349,Skien
municip3808,1900-01-01,45,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13049,344.854011801671,Notodden
municip3811,1900-01-01,132,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,26730,493.827160493827,Færder
municip3812,1900-01-01,27,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2340,1153.84615384615,Siljan
municip3813,1900-01-01,78,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14061,554.725837422658,Bamble
municip3814,1900-01-01,37,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10380,356.45472061657,Kragerø
municip3815,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4060,246.305418719212,Drangedal
municip3816,1900-01-01,34,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6515,521.872601688411,Nome
municip3817,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10444,239.371888165454,Midt-Telemark
municip3818,1900-01-01,17,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5691,298.717272887015,Tinn
municip3819,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1573,317.863954227591,Hjartdal
municip3820,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2888,277.008310249308,Seljord
municip3821,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2403,41.6146483562214,Kviteseid
municip3822,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1448,0,Nissedal
municip3823,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1287,77.7000777000777,Fyresdal
