granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
week,nation,norge,2020,40-49,male,2020,15,2020-15,2019/2020,38,2020-04-12,46,2022-03-03
week,nation,norge,2020,50-59,female,2020,15,2020-15,2019/2020,38,2020-04-12,64,2022-03-03
week,nation,norge,2020,50-59,male,2020,15,2020-15,2019/2020,38,2020-04-12,52,2022-03-03
week,nation,norge,2020,60-69,female,2020,15,2020-15,2019/2020,38,2020-04-12,33,2022-03-03
week,nation,norge,2020,60-69,male,2020,15,2020-15,2019/2020,38,2020-04-12,36,2022-03-03
week,nation,norge,2020,70-79,female,2020,15,2020-15,2019/2020,38,2020-04-12,32,2022-03-03
week,nation,norge,2020,70-79,male,2020,15,2020-15,2019/2020,38,2020-04-12,30,2022-03-03
week,nation,norge,2020,80-89,female,2020,15,2020-15,2019/2020,38,2020-04-12,27,2022-03-03
week,nation,norge,2020,80-89,male,2020,15,2020-15,2019/2020,38,2020-04-12,18,2022-03-03
week,nation,norge,2020,90+,female,2020,15,2020-15,2019/2020,38,2020-04-12,13,2022-03-03
week,nation,norge,2020,90+,male,2020,15,2020-15,2019/2020,38,2020-04-12,4,2022-03-03
week,nation,norge,2020,0-9,female,2020,16,2020-16,2019/2020,39,2020-04-19,7,2022-03-03
week,nation,norge,2020,0-9,male,2020,16,2020-16,2019/2020,39,2020-04-19,4,2022-03-03
week,nation,norge,2020,10-19,female,2020,16,2020-16,2019/2020,39,2020-04-19,16,2022-03-03
week,nation,norge,2020,10-19,male,2020,16,2020-16,2019/2020,39,2020-04-19,20,2022-03-03
week,nation,norge,2020,20-29,female,2020,16,2020-16,2019/2020,39,2020-04-19,63,2022-03-03
week,nation,norge,2020,20-29,male,2020,16,2020-16,2019/2020,39,2020-04-19,59,2022-03-03
week,nation,norge,2020,30-39,female,2020,16,2020-16,2019/2020,39,2020-04-19,49,2022-03-03
week,nation,norge,2020,30-39,male,2020,16,2020-16,2019/2020,39,2020-04-19,54,2022-03-03
week,nation,norge,2020,40-49,female,2020,16,2020-16,2019/2020,39,2020-04-19,52,2022-03-03
week,nation,norge,2020,40-49,male,2020,16,2020-16,2019/2020,39,2020-04-19,39,2022-03-03
week,nation,norge,2020,50-59,female,2020,16,2020-16,2019/2020,39,2020-04-19,51,2022-03-03
week,nation,norge,2020,50-59,male,2020,16,2020-16,2019/2020,39,2020-04-19,50,2022-03-03
week,nation,norge,2020,60-69,female,2020,16,2020-16,2019/2020,39,2020-04-19,21,2022-03-03
week,nation,norge,2020,60-69,male,2020,16,2020-16,2019/2020,39,2020-04-19,25,2022-03-03
week,nation,norge,2020,70-79,female,2020,16,2020-16,2019/2020,39,2020-04-19,12,2022-03-03
week,nation,norge,2020,70-79,male,2020,16,2020-16,2019/2020,39,2020-04-19,15,2022-03-03
