granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,location_name
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,8,Rogaland
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,2,Rogaland
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,2,Rogaland
day,county,county11,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,1,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,2,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,4,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,1,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,0,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,1,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,0,Rogaland
day,county,county11,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,1,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,1,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,1,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,1,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,2,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,1,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,0,Rogaland
day,county,county11,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,0,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,3,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,2,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,0,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,22,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,0,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,0,Rogaland
day,county,county11,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,0,Rogaland
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,8,Rogaland
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,0,Rogaland
day,county,county11,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,4,Rogaland
