granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip3013,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3023,2837,1364,83.9,78.8,37.9,3601,Marker,2021-12-23
total,municip,municip3014,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,34858,32204,11775,77.1,71.2,26.1,45201,Indre Østfold,2021-12-23
total,municip,municip3015,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3032,2789,1030,79.3,72.9,26.9,3825,Skiptvet,2021-12-23
total,municip,municip3016,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6600,6112,2710,80.3,74.3,33,8222,Rakkestad,2021-12-23
total,municip,municip3017,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6003,5552,2313,79.3,73.4,30.6,7568,Råde,2021-12-23
total,municip,municip3018,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4442,4075,1578,76.5,70.2,27.2,5805,Våler,2021-12-23
total,municip,municip3019,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14170,12891,4578,77.5,70.5,25,18290,Vestby,2021-12-23
total,municip,municip3020,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,47517,42811,13238,79.2,71.3,22.1,60034,Nordre Follo,2021-12-23
total,municip,municip3021,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15984,14450,4275,78.2,70.7,20.9,20439,Ås,2021-12-23
total,municip,municip3022,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12962,11928,4671,81.3,74.8,29.3,15953,Frogn,2021-12-23
total,municip,municip3023,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15250,13729,5513,77,69.3,27.8,19805,Nesodden,2021-12-23
total,municip,municip3024,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,101415,91182,27103,79.1,71.1,21.1,128233,Bærum,2021-12-23
total,municip,municip3025,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,74771,67695,25625,78.8,71.3,27,94915,Asker,2021-12-23
total,municip,municip3026,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13998,12907,4907,79.6,73.4,27.9,17591,Aurskog-Høland,2021-12-23
