granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,n_hospital_all_causes,date_of_publishing
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,0,0,1,2022-03-15
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,0,0,1,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,0,4,5,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,1,1,3,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,0,0,1,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-04,0,0,1,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-05,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-06,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-07,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-08,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-09,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-10,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-11,2,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-12,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-13,1,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-14,1,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-15,0,1,3,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-16,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-17,0,3,4,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-18,0,1,2,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-19,2,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-20,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-21,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-22,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-23,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-24,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-25,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-26,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-27,0,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-28,0,2,3,2022-03-15
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-06-29,0,0,0,2022-03-15
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-06-30,1,2,2,2022-03-15
