granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
isoweek,nation,norge,2020,total,total,2021,43,2021-43,2021/2022,14,2021-10-31,20,2022-05-19
isoweek,nation,norge,2020,total,total,2021,44,2021-44,2021/2022,15,2021-11-07,38,2022-05-19
isoweek,nation,norge,2020,total,total,2021,45,2021-45,2021/2022,16,2021-11-14,50,2022-05-19
isoweek,nation,norge,2020,total,total,2021,46,2021-46,2021/2022,17,2021-11-21,55,2022-05-19
isoweek,nation,norge,2020,total,total,2021,47,2021-47,2021/2022,18,2021-11-28,54,2022-05-19
isoweek,nation,norge,2020,total,total,2021,48,2021-48,2021/2022,19,2021-12-05,56,2022-05-19
isoweek,nation,norge,2020,total,total,2021,49,2021-49,2021/2022,20,2021-12-12,54,2022-05-19
isoweek,nation,norge,2020,total,total,2021,50,2021-50,2021/2022,21,2021-12-19,67,2022-05-19
isoweek,nation,norge,2020,total,total,2021,51,2021-51,2021/2022,22,2021-12-26,56,2022-05-19
isoweek,nation,norge,2020,total,total,2021,52,2021-52,2021/2022,23,2022-01-02,48,2022-05-19
isoweek,nation,norge,2020,total,total,2022,1,2022-01,2021/2022,24,2022-01-09,30,2022-05-19
isoweek,nation,norge,2020,total,total,2022,2,2022-02,2021/2022,25,2022-01-16,28,2022-05-19
isoweek,nation,norge,2020,total,total,2022,3,2022-03,2021/2022,26,2022-01-23,29,2022-05-19
isoweek,nation,norge,2020,total,total,2022,4,2022-04,2021/2022,27,2022-01-30,32,2022-05-19
isoweek,nation,norge,2020,total,total,2022,5,2022-05,2021/2022,28,2022-02-06,54,2022-05-19
isoweek,nation,norge,2020,total,total,2022,6,2022-06,2021/2022,29,2022-02-13,60,2022-05-19
isoweek,nation,norge,2020,total,total,2022,7,2022-07,2021/2022,30,2022-02-20,85,2022-05-19
isoweek,nation,norge,2020,total,total,2022,8,2022-08,2021/2022,31,2022-02-27,113,2022-05-19
isoweek,nation,norge,2020,total,total,2022,9,2022-09,2021/2022,32,2022-03-06,156,2022-05-19
isoweek,nation,norge,2020,total,total,2022,10,2022-10,2021/2022,33,2022-03-13,185,2022-05-19
isoweek,nation,norge,2020,total,total,2022,11,2022-11,2021/2022,34,2022-03-20,200,2022-05-19
isoweek,nation,norge,2020,total,total,2022,12,2022-12,2021/2022,35,2022-03-27,171,2022-05-19
isoweek,nation,norge,2020,total,total,2022,13,2022-13,2021/2022,36,2022-04-03,123,2022-05-19
isoweek,nation,norge,2020,total,total,2022,14,2022-14,2021/2022,37,2022-04-10,122,2022-05-19
isoweek,nation,norge,2020,total,total,2022,15,2022-15,2021/2022,38,2022-04-17,78,2022-05-19
isoweek,nation,norge,2020,total,total,2022,16,2022-16,2021/2022,39,2022-04-24,55,2022-05-19
isoweek,nation,norge,2020,total,total,2022,17,2022-17,2021/2022,40,2022-05-01,70,2022-05-19
isoweek,nation,norge,2020,total,total,2022,18,2022-18,2021/2022,41,2022-05-08,45,2022-05-19
isoweek,nation,norge,2020,total,total,2022,19,2022-19,2021/2022,42,2022-05-15,17,2022-05-19
isoweek,nation,norge,2020,total,total,2022,20,2022-20,2021/2022,43,2022-05-22,0,2022-05-19
