granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,date_of_publishing
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-25,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-26,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,39,2020-39,2020/2021,10,2020-09-27,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-28,1,6,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-29,0,4,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-09-30,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-01,1,5,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-02,0,4,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-03,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,40,2020-40,2020/2021,11,2020-10-04,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-05,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-06,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-07,2,5,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-08,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-09,0,10,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-10,0,4,2022-07-27
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-11,0,7,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-12,1,4,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-13,1,2,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-14,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-15,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-16,0,5,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-17,2,4,2022-07-27
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-18,1,3,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-19,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-20,0,8,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-21,1,10,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-22,2,5,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-23,0,4,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-24,1,7,2022-07-27
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-25,0,8,2022-07-27
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-26,1,12,2022-07-27
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-27,2,5,2022-07-27
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-28,0,7,2022-07-27
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-29,1,13,2022-07-27
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-30,1,6,2022-07-27
